date,province,confirmed,deaths,recovered
2020-03-10,AJK,0,0,0
2020-03-10,Balochistan,1,0,0
2020-03-10,GB,2,0,0
2020-03-10,Islamabad,2,0,0
2020-03-10,KPK,0,0,0
2020-03-10,Punjab,0,0,0
2020-03-11,AJK,0,0,0
2020-03-11,Balochistan,1,0,0
2020-03-11,GB,3,0,0
2020-03-11,Islamabad,2,0,0
2020-03-11,KPK,0,0,0
2020-03-11,Punjab,0,0,0
2020-03-12,AJK,0,0,0
2020-03-12,Balochistan,1,0,0
2020-03-12,GB,3,0,0
2020-03-12,Islamabad,2,0,0
2020-03-12,KPK,0,0,0
2020-03-12,Punjab,0,0,0
2020-03-13,AJK,0,0,0
2020-03-13,Balochistan,6,0,0
2020-03-13,GB,3,0,0
2020-03-13,Islamabad,3,0,0
2020-03-13,KPK,0,0,0
2020-03-13,Punjab,0,0,0
2020-03-14,AJK,0,0,0
2020-03-14,Balochistan,6,0,0
2020-03-14,GB,3,0,0
2020-03-14,Islamabad,4,0,0
2020-03-14,KPK,0,0,0
2020-03-14,Punjab,0,0,0
2020-03-15,AJK,0,0,0
2020-03-15,Balochistan,11,0,0
2020-03-15,GB,3,0,0
2020-03-15,Islamabad,4,0,0
2020-03-15,KPK,0,0,0
2020-03-15,Punjab,1,0,0
2020-03-16,AJK,0,0,0
2020-03-16,Balochistan,14,0,0
2020-03-16,GB,3,0,0
2020-03-16,Islamabad,4,0,1
2020-03-16,KPK,15,0,0
2020-03-16,Punjab,1,0,0
2020-03-17,AJK,0,0,0
2020-03-17,Balochistan,15,0,0
2020-03-17,GB,3,0,0
2020-03-17,Islamabad,5,0,1
2020-03-17,KPK,17,0,0
2020-03-17,Punjab,26,0,0
2020-03-18,AJK,1,0,0
2020-03-18,Balochistan,23,0,0
2020-03-18,GB,13,0,0
2020-03-18,Islamabad,5,0,2
2020-03-18,KPK,19,2,0
2020-03-18,Punjab,33,0,0
2020-03-19,AJK,1,0,0
2020-03-19,Balochistan,81,0,0
2020-03-19,GB,21,0,0
2020-03-19,Islamabad,10,0,2
2020-03-19,KPK,23,2,0
2020-03-19,Punjab,83,0,0
2020-03-20,AJK,1,0,0
2020-03-20,Balochistan,103,0,0
2020-03-20,GB,30,0,0
2020-03-20,Islamabad,10,0,2
2020-03-20,KPK,27,2,0
2020-03-20,Punjab,104,0,0
2020-03-21,AJK,1,0,0
2020-03-21,Balochistan,104,0,0
2020-03-21,GB,55,0,0
2020-03-21,Islamabad,11,0,2
2020-03-21,KPK,31,2,0
2020-03-21,Punjab,152,0,0
2020-03-22,AJK,1,0,0
2020-03-22,Balochistan,108,1,0
2020-03-22,GB,71,1,0
2020-03-22,Islamabad,15,0,2
2020-03-22,KPK,31,3,0
2020-03-22,Punjab,225,0,0
2020-03-23,AJK,1,0,0
2020-03-23,Balochistan,110,1,0
2020-03-23,GB,80,1,0
2020-03-23,Islamabad,15,0,2
2020-03-23,KPK,38,3,0
2020-03-23,Punjab,249,0,0
2020-03-24,AJK,1,0,0
2020-03-24,Balochistan,115,1,0
2020-03-24,GB,81,1,0
2020-03-24,Islamabad,16,0,2
2020-03-24,KPK,78,3,0
2020-03-24,Punjab,296,1,3
2020-03-25,AJK,1,0,0
2020-03-25,Balochistan,131,1,0
2020-03-25,GB,84,1,0
2020-03-25,Islamabad,25,0,2
2020-03-25,KPK,121,3,2
2020-03-25,Punjab,323,2,3
2020-03-26,AJK,2,0,0
2020-03-26,Balochistan,131,1,0
2020-03-26,GB,91,1,2
2020-03-26,Islamabad,27,0,2
2020-03-26,KPK,147,3,2
2020-03-26,Punjab,408,3,3
2020-03-27,AJK,2,0,0
2020-03-27,Balochistan,133,1,0
2020-03-27,GB,107,1,3
2020-03-27,Islamabad,36,0,2
2020-03-27,KPK,180,3,2
2020-03-27,Punjab,490,5,4
2020-03-28,AJK,2,0,0
2020-03-28,Balochistan,138,1,2
2020-03-28,GB,116,1,4
2020-03-28,Islamabad,43,0,2
2020-03-28,KPK,188,4,2
2020-03-28,Punjab,558,5,4
2020-03-29,AJK,6,0,0
2020-03-29,Balochistan,144,1,2
2020-03-29,GB,128,1,4
2020-03-29,Islamabad,51,0,3
2020-03-29,KPK,195,5,2
2020-03-29,Punjab,593,6,5
2020-03-30,AJK,6,0,0
2020-03-30,Balochistan,153,1,2
2020-03-30,GB,148,2,4
2020-03-30,Islamabad,54,0,3
2020-03-30,KPK,221,6,2
2020-03-30,Punjab,652,9,5
2020-03-31,AJK,6,0,0
2020-03-31,Balochistan,158,1,17
2020-03-31,GB,184,2,4
2020-03-31,Islamabad,54,0,3
2020-03-31,KPK,253,6,2
2020-03-31,Punjab,708,9,5
2020-04-01,AJK,9,0,0
2020-04-01,Balochistan,169,1,17
2020-04-01,GB,187,2,4
2020-04-01,Islamabad,62,0,3
2020-04-01,KPK,274,8,19
2020-04-01,Punjab,845,11,6
2020-04-02,AJK,9,0,0
2020-04-02,Balochistan,169,1,17
2020-04-02,GB,190,3,5
2020-04-02,Islamabad,68,0,3
2020-04-02,KPK,311,9,30
2020-04-02,Punjab,920,11,6
2020-04-03,AJK,11,0,0
2020-04-03,Balochistan,175,1,17
2020-04-03,GB,193,3,9
2020-04-03,Islamabad,75,0,3
2020-04-03,KPK,343,11,30
2020-04-03,Punjab,1072,11,6
2020-04-04,AJK,12,0,1
2020-04-04,Balochistan,185,1,17
2020-04-04,GB,206,3,9
2020-04-04,Islamabad,78,0,3
2020-04-04,KPK,372,14,30
2020-04-04,Punjab,1163,12,25
2020-04-05,AJK,15,0,1
2020-04-05,Balochistan,191,1,30
2020-04-05,GB,210,3,13
2020-04-05,Islamabad,82,0,3
2020-04-05,KPK,415,16,62
2020-04-05,Punjab,1493,15,25
2020-04-06,AJK,18,0,1
2020-04-06,Balochistan,202,1,63
2020-04-06,GB,211,3,15
2020-04-06,Islamabad,83,1,3
2020-04-06,KPK,500,17,69
2020-04-06,Punjab,1918,15,25
2020-04-07,AJK,19,0,1
2020-04-07,Balochistan,206,1,75
2020-04-07,GB,212,3,15
2020-04-07,Islamabad,92,1,3
2020-04-07,KPK,529,18,70
2020-04-07,Punjab,2030,16,34
2020-04-08,AJK,28,0,1
2020-04-08,Balochistan,212,1,76
2020-04-08,GB,213,3,96
2020-04-08,Islamabad,102,1,10
2020-04-08,KPK,555,20,74
2020-04-08,Punjab,2171,17,35
2020-04-09,AJK,33,0,1
2020-04-09,Balochistan,219,1,89
2020-04-09,GB,215,3,111
2020-04-09,Islamabad,107,1,10
2020-04-09,KPK,617,22,128
2020-04-09,Punjab,2279,18,39
2020-04-10,AJK,34,0,1
2020-04-10,Balochistan,220,1,95
2020-04-10,GB,215,3,125
2020-04-10,Islamabad,113,1,13
2020-04-10,KPK,652,25,131
2020-04-10,Punjab,2336,19,39
2020-04-11,AJK,35,0,2
2020-04-11,Balochistan,228,2,95
2020-04-11,GB,216,3,146
2020-04-11,Islamabad,119,1,13
2020-04-11,KPK,697,31,142
2020-04-11,Punjab,2425,21,258
2020-04-12,AJK,40,0,2
2020-04-12,Balochistan,230,2,123
2020-04-12,GB,224,3,149
2020-04-12,Islamabad,131,1,15
2020-04-12,KPK,744,34,145
2020-04-12,Punjab,2594,23,272
2020-04-13,AJK,43,0,4
2020-04-13,Balochistan,231,2,124
2020-04-13,GB,233,3,155
2020-04-13,Islamabad,131,1,15
2020-04-13,KPK,800,35,153
2020-04-13,Punjab,2826,24,508
2020-04-14,AJK,46,0,4
2020-04-14,Balochistan,240,2,137
2020-04-14,GB,234,3,175
2020-04-14,Islamabad,140,1,17
2020-04-14,KPK,862,38,178
2020-04-14,Punjab,2945,28,508
2020-04-15,AJK,46,0,9
2020-04-15,Balochistan,280,3,140
2020-04-15,GB,237,3,178
2020-04-15,Islamabad,145,1,17
2020-04-15,KPK,935,42,191
2020-04-15,Punjab,3217,34,550
2020-04-16,AJK,46,0,9
2020-04-16,Balochistan,303,5,142
2020-04-16,GB,245,3,183
2020-04-16,Islamabad,154,1,20
2020-04-16,KPK,984,45,205
2020-04-16,Punjab,3276,36,630
2020-04-17,AJK,48,0,9
2020-04-17,Balochistan,335,5,142
2020-04-17,GB,250,3,192
2020-04-17,Islamabad,163,1,20
2020-04-17,KPK,1075,50,216
2020-04-17,Punjab,3391,37,672
2020-04-18,AJK,48,0,9
2020-04-18,Balochistan,376,5,144
2020-04-18,GB,257,3,193
2020-04-18,Islamabad,171,2,20
2020-04-18,KPK,1137,60,226
2020-04-18,Punjab,3649,41,684
2020-04-19,AJK,49,0,10
2020-04-19,Balochistan,432,5,152
2020-04-19,GB,263,3,194
2020-04-19,Islamabad,181,3,20
2020-04-19,KPK,1237,67,267
2020-04-19,Punjab,3721,42,702
2020-04-20,AJK,50,0,16
2020-04-20,Balochistan,465,6,161
2020-04-20,GB,281,3,195
2020-04-20,Islamabad,185,3,20
2020-04-20,KPK,1276,74,297
2020-04-20,Punjab,4195,45,742
2020-04-21,AJK,51,0,23
2020-04-21,Balochistan,495,6,167
2020-04-21,GB,283,3,198
2020-04-21,Islamabad,194,3,26
2020-04-21,KPK,1367,80,335
2020-04-21,Punjab,4328,51,742
2020-04-22,AJK,51,0,23
2020-04-22,Balochistan,552,8,168
2020-04-22,GB,290,3,201
2020-04-22,Islamabad,204,3,26
2020-04-22,KPK,1453,83,414
2020-04-22,Punjab,4590,58,790
2020-04-23,AJK,55,0,25
2020-04-23,Balochistan,607,8,174
2020-04-23,GB,300,3,212
2020-04-23,Islamabad,214,3,26
2020-04-23,KPK,1541,85,455
2020-04-23,Punjab,4767,65,905
2020-04-24,AJK,55,0,28
2020-04-24,Balochistan,656,10,176
2020-04-24,GB,307,3,213
2020-04-24,Islamabad,223,3,29
2020-04-24,KPK,1708,89,472
2020-04-24,Punjab,5046,73,1065
2020-04-25,AJK,55,0,32
2020-04-25,Balochistan,722,11,176
2020-04-25,GB,308,3,216
2020-04-25,Islamabad,235,3,29
2020-04-25,KPK,1793,93,485
2020-04-25,Punjab,5378,81,1126
2020-04-26,AJK,59,0,35
2020-04-26,Balochistan,781,13,176
2020-04-26,GB,318,3,219
2020-04-26,Islamabad,245,3,29
2020-04-26,KPK,1864,98,515
2020-04-26,Punjab,5446,83,1183
2020-04-27,AJK,65,0,35
2020-04-27,Balochistan,853,14,176
2020-04-27,GB,320,3,222
2020-04-27,Islamabad,261,4,36
2020-04-27,KPK,1984,104,533
2020-04-27,Punjab,5640,91,1306
2020-04-28,AJK,65,0,37
2020-04-28,Balochistan,915,14,176
2020-04-28,GB,330,3,224
2020-04-28,Islamabad,297,4,36
2020-04-28,KPK,2160,114,562
2020-04-28,Punjab,5827,100,1427
2020-04-28,Sindh,5291,92,963
2020-04-29,AJK,66,0,37
2020-04-29,Balochistan,978,14,180
2020-04-29,GB,333,3,228
2020-04-29,Islamabad,313,4,44
