"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-04-01","1","1","0"
"2","2020-04-02","0","0","1"
"3","2020-04-13","0","1","0"
"4","2020-04-14","4","3","0"
"5","2020-04-15","0","0","3"
"6","2020-04-16","1","0","0"
"7","2020-04-18","1","0","0"
"8","2020-04-24","0","1","0"
"9","2020-04-25","0","0","1"
"10","2020-04-28","1","0","0"
"11","2020-04-30","2","1","0"
"12","2020-05-03","1","2","0"
"13","2020-05-04","0","1","1"
"14","2020-05-06","1","1","0"
"15","2020-05-09","0","0","1"
"16","2020-05-11","1","2","0"
"17","2020-05-12","0","0","1"
"18","2020-05-13","0","0","1"
"19","2020-05-16","4","0","0"
"20","2020-05-17","3","0","0"
"21","2020-05-18","2","3","2"
"22","2020-05-19","6","3","2"
"23","2020-05-20","2","1","0"
"24","2020-05-21","5","6","4"
"25","2020-05-22","4","9","9"
"26","2020-05-23","7","13","4"
"27","2020-05-24","6","9","3"
"28","2020-05-25","7","10","1"
"29","2020-05-26","9","6","7"
"30","2020-05-27","1","4","7"
"31","2020-05-28","6","6","8"
"32","2020-05-29","3","3","5"
"33","2020-05-30","0","4","1"
"34","2020-05-31","1","0","3"
"35","2020-06-01","1","6","4"
"36","2020-06-02","1","4","1"
"37","2020-06-03","6","8","4"
"38","2020-06-04","3","2","2"
"39","2020-06-05","3","3","2"
"40","2020-06-06","4","1","1"
"41","2020-06-07","3","2","3"
"42","2020-06-08","7","6","5"
"43","2020-06-09","7","4","2"
"44","2020-06-10","7","7","3"
"45","2020-06-11","4","5","1"
"46","2020-06-12","4","7","1"
"47","2020-06-13","1","7","0"
"48","2020-06-14","7","4","6"
"49","2020-06-15","23","20","5"
"50","2020-06-16","3","6","11"
"51","2020-06-17","12","14","1"
"52","2020-06-18","10","11","12"
"53","2020-06-19","14","8","4"
"54","2020-06-20","17","7","4"
"55","2020-06-21","3","8","4"
"56","2020-06-22","16","21","14"
"57","2020-06-23","12","25","24"
"58","2020-06-24","15","21","2"
"59","2020-06-25","16","47","29"
"60","2020-06-26","21","10","5"
"61","2020-06-27","19","21","3"
"62","2020-06-28","29","12","15"
"63","2020-06-29","31","45","17"
"64","2020-06-30","18","24","34"
"65","2020-07-01","25","33","15"
"66","2020-07-02","38","59","41"
"67","2020-07-03","24","41","21"
"68","2020-07-04","26","30","2"
"69","2020-07-05","27","20","45"
"70","2020-07-06","20","39","37"
"71","2020-07-07","35","44","29"
"72","2020-07-08","48","64","56"
"73","2020-07-09","18","33","20"
"74","2020-07-10","22","34","7"
"75","2020-07-11","18","21","12"
"76","2020-07-12","57","36","52"
"77","2020-07-13","36","41","36"
"78","2020-07-14","26","35","33"
"79","2020-07-15","24","25","31"
"80","2020-07-16","24","38","22"
"81","2020-07-17","29","34","37"
"82","2020-07-18","24","27","8"
"83","2020-07-19","15","32","20"
"84","2020-07-20","36","54","62"
"85","2020-07-21","25","44","17"
"86","2020-07-22","22","48","50"
"87","2020-07-23","38","44","22"
"88","2020-07-24","31","44","25"
"89","2020-07-25","23","30","16"
"90","2020-07-26","23","19","5"
"91","2020-07-27","48","48","49"
"92","2020-07-28","35","59","54"
"93","2020-07-29","24","46","55"
"94","2020-07-30","17","47","31"
"95","2020-07-31","13","35","41"
"96","2020-08-01","77","16","9"
"97","2020-08-02","11","24","2"
"98","2020-08-03","21","56","53"
"99","2020-08-04","14","27","45"
"100","2020-08-05","21","27","33"
"101","2020-08-06","18","20","23"
"102","2020-08-07","13","30","35"
"103","2020-08-08","13","38","6"
"104","2020-08-09","17","16","30"
"105","2020-08-10","24","32","29"
"106","2020-08-11","15","23","82"
"107","2020-08-12","15","28","69"
"108","2020-08-13","8","22","30"
"109","2020-08-14","12","17","35"
"110","2020-08-15","22","16","1"
"111","2020-08-16","15","15","12"
"112","2020-08-17","25","22","33"
"113","2020-08-18","16","25","29"
"114","2020-08-19","10","18","20"
"115","2020-08-20","14","36","25"
"116","2020-08-21","13","21","14"
"117","2020-08-22","19","18","8"
"118","2020-08-23","6","13","23"
"119","2020-08-24","15","19","34"
"120","2020-08-25","14","25","22"
"121","2020-08-26","11","25","22"
"122","2020-08-27","8","18","33"
"123","2020-08-28","15","13","11"
"124","2020-08-29","5","13","3"
"125","2020-08-30","10","9","4"
"126","2020-08-31","22","28","32"
"127","2020-09-01","11","30","16"
"128","2020-09-02","12","19","23"
"129","2020-09-03","10","9","22"
"130","2020-09-04","9","12","8"
"131","2020-09-05","9","20","2"
"132","2020-09-06","6","5","1"
"133","2020-09-07","18","29","36"
"134","2020-09-08","10","20","66"
"135","2020-09-09","12","21","21"
"136","2020-09-10","7","22","64"
"137","2020-09-11","10","13","39"
"138","2020-09-12","10","11","2"
"139","2020-09-13","16","5","12"
"140","2020-09-14","5","17","39"
"141","2020-09-15","9","5","2"
"142","2020-09-16","4","18","27"
"143","2020-09-17","4","14","18"
"144","2020-09-18","8","7","27"
