"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-04-01","1","1","0"
"2","2020-04-02","0","0","1"
"3","2020-04-14","4","3","0"
"4","2020-04-15","0","0","3"
"5","2020-04-16","1","0","0"
"6","2020-04-24","0","1","0"
"7","2020-04-25","0","0","1"
"8","2020-04-28","1","0","0"
"9","2020-04-30","1","1","0"
"10","2020-05-03","1","1","0"
"11","2020-05-04","0","0","1"
"12","2020-05-06","1","1","0"
"13","2020-05-09","0","0","1"
"14","2020-05-11","1","2","0"
"15","2020-05-12","0","0","1"
"16","2020-05-13","0","0","1"
"17","2020-05-16","3","0","0"
"18","2020-05-17","2","0","0"
"19","2020-05-18","2","3","2"
"20","2020-05-19","6","3","2"
"21","2020-05-20","2","1","0"
"22","2020-05-21","5","4","4"
"23","2020-05-22","4","9","9"
"24","2020-05-23","7","13","4"
"25","2020-05-24","5","7","3"
"26","2020-05-25","7","9","1"
"27","2020-05-26","9","6","7"
"28","2020-05-27","1","4","7"
"29","2020-05-28","6","6","8"
"30","2020-05-29","2","4","5"
"31","2020-05-30","0","3","1"
"32","2020-05-31","1","0","3"
"33","2020-06-01","1","6","4"
"34","2020-06-02","1","4","1"
"35","2020-06-03","4","8","4"
"36","2020-06-04","3","2","2"
"37","2020-06-05","3","3","2"
"38","2020-06-06","3","1","1"
"39","2020-06-07","2","2","3"
"40","2020-06-08","6","5","5"
"41","2020-06-09","7","4","2"
"42","2020-06-10","7","6","3"
"43","2020-06-11","4","5","1"
"44","2020-06-12","4","7","1"
"45","2020-06-13","1","6","0"
"46","2020-06-14","7","4","6"
"47","2020-06-15","23","20","5"
"48","2020-06-16","3","6","11"
"49","2020-06-17","12","13","1"
"50","2020-06-18","10","11","12"
"51","2020-06-19","13","8","4"
"52","2020-06-20","17","6","4"
"53","2020-06-21","3","6","4"
"54","2020-06-22","17","21","14"
"55","2020-06-23","12","25","24"
"56","2020-06-24","15","20","2"
"57","2020-06-25","16","46","29"
"58","2020-06-26","21","9","5"
"59","2020-06-27","19","21","4"
"60","2020-06-28","29","10","15"
"61","2020-06-29","31","42","16"
"62","2020-06-30","17","22","34"
"63","2020-07-01","25","29","15"
"64","2020-07-02","35","56","41"
"65","2020-07-03","24","40","21"
"66","2020-07-04","26","29","2"
"67","2020-07-05","27","20","45"
"68","2020-07-06","20","33","35"
"69","2020-07-07","35","41","29"
"70","2020-07-08","48","60","56"
"71","2020-07-09","17","32","20"
"72","2020-07-10","20","30","7"
"73","2020-07-11","18","18","12"
"74","2020-07-12","55","32","52"
"75","2020-07-13","36","36","36"
"76","2020-07-14","24","29","33"
"77","2020-07-15","24","22","30"
"78","2020-07-16","24","35","22"
"79","2020-07-17","29","29","37"
"80","2020-07-18","23","26","8"
"81","2020-07-19","14","30","20"
"82","2020-07-20","36","53","62"
"83","2020-07-21","25","43","17"
"84","2020-07-22","22","43","50"
"85","2020-07-23","36","42","22"
"86","2020-07-24","30","40","25"
"87","2020-07-25","23","31","16"
"88","2020-07-26","21","18","5"
"89","2020-07-27","46","47","49"
"90","2020-07-28","33","57","54"
"91","2020-07-29","23","43","56"
"92","2020-07-30","15","39","31"
"93","2020-07-31","11","33","46"
"94","2020-08-01","76","15","9"
"95","2020-08-02","11","23","2"
"96","2020-08-03","19","54","54"
"97","2020-08-04","14","25","45"
"98","2020-08-05","21","26","33"
"99","2020-08-06","18","20","23"
"100","2020-08-07","12","30","35"
"101","2020-08-08","13","38","6"
"102","2020-08-09","17","15","30"
"103","2020-08-10","23","28","28"
"104","2020-08-11","14","23","83"
"105","2020-08-12","13","26","66"
"106","2020-08-13","8","21","28"
"107","2020-08-14","12","17","34"
"108","2020-08-15","21","16","1"
"109","2020-08-16","13","15","12"
"110","2020-08-17","23","19","33"
"111","2020-08-18","16","22","29"
"112","2020-08-19","8","17","20"
"113","2020-08-20","11","32","24"
"114","2020-08-21","13","21","14"
"115","2020-08-22","16","17","8"
"116","2020-08-23","6","12","23"
"117","2020-08-24","14","17","33"
"118","2020-08-25","13","23","22"
"119","2020-08-26","10","20","22"
"120","2020-08-27","8","16","33"
"121","2020-08-28","15","12","11"
"122","2020-08-29","4","13","3"
"123","2020-08-30","10","9","4"
"124","2020-08-31","16","25","32"
"125","2020-09-01","9","30","16"
"126","2020-09-02","8","18","23"
"127","2020-09-03","9","4","22"
"128","2020-09-04","7","10","8"
"129","2020-09-05","7","15","1"
"130","2020-09-06","4","3","1"
"131","2020-09-07","15","28","36"
"132","2020-09-08","4","12","66"
"133","2020-09-09","8","15","21"
"134","2020-09-10","3","17","64"
"135","2020-09-11","2","7","39"
"136","2020-09-12","3","7","2"
"137","2020-09-13","1","4","12"
"138","2020-09-14","1","5","47"
"139","SIN DATOS","598","7","0"
"140","Total","2396","2396","2396"
