"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-02-16","1","0","0"
"2","2020-02-20","1","0","0"
"3","2020-03-12","1","0","0"
"4","2020-03-13","1","0","0"
"5","2020-03-14","1","0","0"
"6","2020-03-15","0","1","1"
"7","2020-03-17","1","0","0"
"8","2020-03-19","0","1","1"
"9","2020-03-20","1","0","0"
"10","2020-03-22","0","1","1"
"11","2020-03-25","0","0","1"
"12","2020-03-26","1","1","0"
"13","2020-03-27","0","1","1"
"14","2020-03-28","0","1","1"
"15","2020-03-29","0","0","1"
"16","2020-03-31","1","0","0"
"17","2020-04-05","1","1","0"
"18","2020-04-06","0","1","2"
"19","2020-04-07","3","3","0"
"20","2020-04-08","5","5","8"
"21","2020-04-11","1","0","0"
"22","2020-04-13","3","5","1"
"23","2020-04-14","1","0","3"
"24","2020-04-20","1","1","0"
"25","2020-04-21","0","0","1"
"26","2020-04-24","1","1","0"
"27","2020-04-25","0","0","1"
"28","2020-04-28","0","1","1"
"29","2020-04-29","3","2","1"
"30","2020-04-30","2","0","0"
"31","2020-05-03","0","1","0"
"32","2020-05-04","2","2","0"
"33","2020-05-05","3","2","2"
"34","2020-05-06","0","0","1"
"35","2020-05-07","1","0","1"
"36","2020-05-08","3","3","0"
"37","2020-05-09","3","2","5"
"38","2020-05-11","2","2","1"
"39","2020-05-12","3","2","0"
"40","2020-05-13","0","0","3"
"41","2020-05-14","5","6","1"
"42","2020-05-15","2","5","2"
"43","2020-05-16","5","3","4"
"44","2020-05-17","11","8","5"
"45","2020-05-18","5","3","0"
"46","2020-05-19","6","7","8"
"47","2020-05-20","10","12","2"
"48","2020-05-21","6","8","13"
"49","2020-05-22","13","14","7"
"50","2020-05-23","5","5","2"
"51","2020-05-24","9","9","3"
"52","2020-05-25","8","13","5"
"53","2020-05-26","14","12","6"
"54","2020-05-27","16","14","6"
"55","2020-05-28","12","16","12"
"56","2020-05-29","8","11","3"
"57","2020-05-30","1","4","8"
"58","2020-05-31","6","9","5"
"59","2020-06-01","16","16","16"
"60","2020-06-02","15","13","6"
"61","2020-06-03","6","10","5"
"62","2020-06-04","16","13","10"
"63","2020-06-05","38","38","5"
"64","2020-06-06","16","6","11"
"65","2020-06-07","28","24","3"
"66","2020-06-08","19","17","11"
"67","2020-06-09","28","31","6"
"68","2020-06-10","21","32","11"
"69","2020-06-11","24","50","5"
"70","2020-06-12","26","30","24"
"71","2020-06-13","31","41","9"
"72","2020-06-14","26","40","3"
"73","2020-06-15","52","69","65"
"74","2020-06-16","39","40","33"
"75","2020-06-17","36","38","29"
"76","2020-06-18","30","20","23"
"77","2020-06-19","33","30","19"
"78","2020-06-20","32","30","23"
"79","2020-06-21","18","20","49"
"80","2020-06-22","36","31","25"
"81","2020-06-23","47","38","29"
"82","2020-06-24","57","73","28"
"83","2020-06-25","31","74","67"
"84","2020-06-26","46","65","32"
"85","2020-06-27","34","36","20"
"86","2020-06-28","50","25","32"
"87","2020-06-29","44","40","26"
"88","2020-06-30","46","63","43"
"89","2020-07-01","25","76","80"
"90","2020-07-02","38","110","74"
"91","2020-07-03","54","62","69"
"92","2020-07-04","35","49","36"
"93","2020-07-05","31","20","47"
"94","2020-07-06","48","89","43"
"95","2020-07-07","55","70","55"
"96","2020-07-08","29","64","61"
"97","2020-07-09","36","51","35"
"98","2020-07-10","47","37","38"
"99","2020-07-11","37","28","55"
"100","2020-07-12","34","29","13"
"101","2020-07-13","49","63","26"
"102","2020-07-14","31","47","84"
"103","2020-07-15","37","53","63"
"104","2020-07-16","37","48","52"
"105","2020-07-17","42","48","37"
"106","2020-07-18","41","38","36"
"107","2020-07-19","22","36","28"
"108","2020-07-20","43","88","70"
"109","2020-07-21","30","43","69"
"110","2020-07-22","21","64","41"
"111","2020-07-23","33","63","31"
"112","2020-07-24","35","38","51"
"113","2020-07-25","29","25","22"
"114","2020-07-26","28","21","19"
"115","2020-07-27","31","60","42"
"116","2020-07-28","26","44","57"
"117","2020-07-29","24","48","60"
"118","2020-07-30","13","42","51"
