"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-04-09","0","1","0"
"2","2020-04-10","0","0","1"
"3","2020-04-14","4","4","0"
"4","2020-04-15","0","0","4"
"5","2020-04-21","5","5","3"
"6","2020-04-22","0","0","2"
"7","2020-04-24","1","1","0"
"8","2020-04-25","0","0","1"
"9","2020-04-29","1","1","1"
"10","2020-05-06","1","0","0"
"11","2020-05-08","1","1","0"
"12","2020-05-09","0","1","2"
"13","2020-05-13","0","1","0"
"14","2020-05-14","1","1","1"
"15","2020-05-15","1","0","1"
"16","2020-05-16","0","2","1"
"17","2020-05-17","0","1","1"
"18","2020-05-18","0","5","4"
"19","2020-05-19","1","1","0"
"20","2020-05-20","0","1","0"
"21","2020-05-21","0","1","3"
"22","2020-05-22","12","13","1"
"23","2020-05-23","3","3","2"
"24","2020-05-24","3","2","0"
"25","2020-05-25","1","1","4"
"26","2020-05-26","3","3","4"
"27","2020-05-27","0","2","8"
"28","2020-05-28","1","1","3"
"29","2020-05-29","2","2","0"
"30","2020-05-30","1","1","0"
"31","2020-05-31","2","2","0"
"32","2020-06-01","1","2","1"
"33","2020-06-02","1","1","1"
"34","2020-06-03","2","2","1"
"35","2020-06-04","2","1","3"
"36","2020-06-05","0","0","1"
"37","2020-06-07","0","2","1"
"38","2020-06-08","1","4","2"
"39","2020-06-09","3","3","4"
"40","2020-06-10","3","4","1"
"41","2020-06-11","1","2","0"
"42","2020-06-12","2","1","1"
"43","2020-06-13","1","0","0"
"44","2020-06-14","0","0","1"
"45","2020-06-15","4","2","2"
"46","2020-06-16","1","1","2"
"47","2020-06-17","1","2","0"
"48","2020-06-18","0","1","3"
"49","2020-06-19","1","2","0"
"50","2020-06-20","1","1","0"
"51","2020-06-21","0","0","1"
"52","2020-06-22","3","2","2"
"53","2020-06-23","0","5","0"
"54","2020-06-24","3","3","2"
"55","2020-06-25","8","20","2"
"56","2020-06-26","0","4","0"
"57","2020-06-27","3","1","1"
"58","2020-06-28","1","0","0"
"59","2020-06-29","8","8","6"
"60","2020-06-30","2","13","3"
"61","2020-07-01","6","3","0"
"62","2020-07-02","4","2","6"
"63","2020-07-03","1","4","7"
"64","2020-07-04","6","5","1"
"65","2020-07-05","4","16","1"
"66","2020-07-06","9","7","2"
"67","2020-07-07","1","14","0"
"68","2020-07-08","6","5","3"
"69","2020-07-09","5","15","0"
"70","2020-07-10","2","17","6"
"71","2020-07-11","5","2","0"
"72","2020-07-12","6","16","18"
"73","2020-07-13","5","6","5"
"74","2020-07-14","7","6","4"
"75","2020-07-15","10","4","8"
"76","2020-07-16","5","8","3"
"77","2020-07-17","5","5","19"
"78","2020-07-18","11","3","3"
"79","2020-07-19","5","8","6"
"80","2020-07-20","10","9","1"
"81","2020-07-21","11","8","6"
"82","2020-07-22","7","11","1"
"83","2020-07-23","10","7","2"
"84","2020-07-24","5","23","16"
"85","2020-07-25","6","2","2"
"86","2020-07-26","13","5","1"
"87","2020-07-27","7","44","15"
"88","2020-07-28","7","10","21"
"89","2020-07-29","6","15","4"
"90","2020-07-30","9","9","20"
"91","2020-07-31","8","12","8"
"92","2020-08-01","5","3","1"
"93","2020-08-02","9","19","0"
"94","2020-08-03","12","19","6"
"95","2020-08-04","11","14","8"
"96","2020-08-05","4","16","4"
"97","2020-08-06","10","6","4"
"98","2020-08-07","8","11","3"
"99","2020-08-08","2","5","15"
"100","2020-08-09","3","2","7"
"101","2020-08-10","20","30","9"
"102","2020-08-11","6","11","11"
"103","2020-08-12","11","5","8"
"104","2020-08-13","8","17","21"
"105","2020-08-14","18","23","18"
"106","2020-08-15","9","6","13"
"107","2020-08-16","9","9","5"
"108","2020-08-17","16","22","28"
"109","2020-08-18","2","10","20"
"110","2020-08-19","7","19","9"
"111","2020-08-20","13","22","12"
"112","2020-08-21","10","17","37"
"113","2020-08-22","18","11","9"
"114","2020-08-23","16","3","6"
"115","2020-08-24","4","21","37"
"116","2020-08-25","10","29","30"
"117","2020-08-26","7","22","21"
"118","2020-08-27","3","15","23"
"119","2020-08-28","6","18","21"
"120","2020-08-29","7","7","1"
"121","2020-08-30","10","4","2"
"122","2020-08-31","10","9","25"
"123","2020-09-01","14","29","15"
"124","2020-09-02","12","13","23"
"125","2020-09-03","6","16","17"
"126","2020-09-04","14","11","14"
"127","2020-09-05","15","16","1"
"128","2020-09-06","4","7","2"
"129","2020-09-07","9","16","30"
"130","2020-09-08","10","20","17"
"131","2020-09-09","6","21","21"
"132","2020-09-10","13","32","25"
"133","2020-09-11","13","22","22"
"134","2020-09-12","11","13","4"
"135","2020-09-13","12","8","7"
"136","2020-09-14","17","35","21"
"137","2020-09-15","22","29","14"
"138","2020-09-16","14","18","80"
"139","2020-09-17","9","17","55"
"140","2020-09-18","6","28","47"
"141","2020-09-19","17","31","20"
"142","2020-09-20","14","11","11"
"143","2020-09-21","7","28","71"
"144","2020-09-22","7","22","26"
"145","2020-09-23","3","23","13"
"146","2020-09-24","10","27","41"
"147","2020-09-25","17","11","15"
"148","2020-09-26","15","12","6"
"149","2020-09-27","4","12","3"
"150","2020-09-28","12","47","17"
"151","2020-09-29","11","30","49"
"152","2020-09-30","6","19","39"
"153","2020-10-01","9","23","26"
"154","2020-10-02","8","16","8"
"155","2020-10-03","15","5","8"
"156","2020-10-04","6","9","4"
"157","2020-10-05","11","16","20"
"158","2020-10-06","9","23","28"
"159","2020-10-07","11","28","26"
"160","2020-10-08","19","19","20"
"161","2020-10-09","11","14","13"
"162","2020-10-10","12","23","16"
"163","2020-10-11","10","7","2"
"164","2020-10-12","11","15","26"
"165","2020-10-13","11","19","24"
"166","2020-10-14","20","26","15"
"167","2020-10-15","13","10","9"
"168","2020-10-16","12","31","44"
"169","2020-10-17","4","13","5"
"170","2020-10-18","6","20","20"
"171","2020-10-19","7","13","34"
"172","2020-10-20","6","15","4"
"173","2020-10-21","13","18","17"
"174","2020-10-22","9","13","23"
"175","2020-10-23","8","13","14"
"176","2020-10-24","3","16","2"
