"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-03-28","1","1","0"
"2","2020-03-29","0","0","1"
"3","2020-04-09","3","3","3"
"4","2020-04-13","1","1","0"
"5","2020-04-14","1","1","1"
"6","2020-04-15","0","0","1"
"7","2020-04-23","1","1","1"
"8","2020-04-25","4","4","4"
"9","2020-04-29","2","2","2"
"10","2020-04-30","0","0","1"
"11","2020-05-04","10","10","9"
"12","2020-05-06","0","1","1"
"13","2020-05-07","0","0","1"
"14","2020-05-11","1","1","0"
"15","2020-05-17","2","2","0"
"16","2020-05-19","0","0","2"
"17","2020-05-20","2","2","0"
"18","2020-05-21","0","0","1"
"19","2020-05-22","4","4","0"
"20","2020-05-23","4","4","0"
"21","2020-05-24","0","0","1"
"22","2020-05-25","0","0","1"
"23","2020-05-26","3","3","0"
"24","2020-05-27","1","2","1"
"25","2020-05-28","0","0","7"
"26","2020-05-29","0","1","0"
"27","2020-05-31","2","5","2"
"28","2020-06-01","0","1","1"
"29","2020-06-02","1","0","0"
"30","2020-06-03","0","0","1"
"31","2020-06-04","0","1","3"
"32","2020-06-05","1","1","0"
"33","2020-06-06","1","2","1"
"34","2020-06-07","1","1","0"
"35","2020-06-08","0","2","1"
"36","2020-06-09","3","2","4"
"37","2020-06-10","0","1","1"
"38","2020-06-12","2","4","3"
"39","2020-06-13","5","6","1"
"40","2020-06-14","0","1","1"
"41","2020-06-15","2","2","0"
"42","2020-06-16","6","8","4"
"43","2020-06-17","1","0","1"
"44","2020-06-18","0","3","1"
"45","2020-06-20","1","2","0"
"46","2020-06-21","1","5","0"
"47","2020-06-22","1","0","2"
"48","2020-06-23","1","0","0"
"49","2020-06-24","2","3","0"
"50","2020-06-25","3","5","0"
"51","2020-06-26","3","2","0"
"52","2020-06-27","8","9","2"
"53","2020-06-28","5","4","2"
"54","2020-06-29","0","8","1"
"55","2020-06-30","2","4","2"
"56","2020-07-01","2","2","2"
"57","2020-07-02","3","6","3"
"58","2020-07-03","3","9","11"
"59","2020-07-04","4","8","3"
"60","2020-07-05","3","3","0"
"61","2020-07-06","3","7","2"
"62","2020-07-07","6","11","0"
"63","2020-07-08","7","8","14"
"64","2020-07-09","8","7","8"
"65","2020-07-10","6","8","7"
"66","2020-07-11","3","4","2"
"67","2020-07-12","2","2","3"
"68","2020-07-13","6","8","7"
"69","2020-07-14","4","3","4"
"70","2020-07-15","6","7","6"
"71","2020-07-16","6","6","11"
"72","2020-07-17","9","6","13"
"73","2020-07-18","6","5","9"
"74","2020-07-19","1","3","1"
"75","2020-07-20","4","6","16"
"76","2020-07-21","1","3","4"
"77","2020-07-22","1","7","3"
"78","2020-07-23","7","8","2"
"79","2020-07-24","3","11","16"
"80","2020-07-25","2","2","6"
"81","2020-07-26","2","2","0"
"82","2020-07-27","3","7","8"
"83","2020-07-28","7","7","11"
"84","2020-07-29","8","7","10"
"85","2020-07-30","5","4","6"
"86","2020-07-31","7","8","4"
"87","2020-08-01","9","10","1"
"88","2020-08-02","10","11","0"
"89","2020-08-03","9","14","14"
"90","2020-08-04","8","19","8"
"91","2020-08-05","8","13","10"
"92","2020-08-06","10","15","5"
"93","2020-08-07","6","9","12"
"94","2020-08-08","12","17","0"
"95","2020-08-09","6","9","2"
"96","2020-08-10","6","11","12"
"97","2020-08-11","1","6","24"
"98","2020-08-12","10","16","14"
"99","2020-08-13","8","12","12"
"100","2020-08-14","3","7","7"
"101","2020-08-15","12","17","7"
"102","2020-08-16","7","36","2"
"103","2020-08-17","6","56","33"
"104","2020-08-18","6","35","56"
"105","2020-08-19","7","17","61"
"106","2020-08-20","6","18","22"
"107","2020-08-21","3","25","18"
"108","2020-08-22","8","14","6"
"109","2020-08-23","8","13","1"
"110","2020-08-24","5","10","31"
"111","2020-08-25","6","12","15"
"112","2020-08-26","8","23","17"
"113","2020-08-27","6","8","20"
"114","2020-08-28","2","6","11"
"115","2020-08-29","1","3","2"
"116","2020-08-30","2","11","5"
"117","2020-08-31","4","9","23"
"118","2020-09-01","2","13","77"
"119","2020-09-02","2","9","14"
"120","2020-09-03","4","18","8"
"121","2020-09-04","6","16","8"
"122","2020-09-05","4","4","0"
"123","2020-09-06","6","5","8"
"124","2020-09-07","4","18","25"
"125","2020-09-08","7","14","21"
"126","2020-09-09","1","10","5"
"127","2020-09-10","4","13","13"
"128","2020-09-11","2","9","21"
"129","2020-09-12","2","5","2"
"130","2020-09-13","2","12","1"
"131","2020-09-14","1","5","21"
"132","2020-09-15","1","9","6"
"133","2020-09-16","1","8","3"
"134","2020-09-17","1","14","9"
"135","2020-09-18","0","8","27"
"136","SIN DATOS","501","2","0"
"137","Total","984","984","984"
