"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-03-13","1","0","0"
"2","2020-04-07","1","1","0"
"3","2020-04-08","0","0","1"
"4","2020-04-10","1","1","0"
"5","2020-04-11","0","0","1"
"6","2020-04-13","0","1","0"
"7","2020-04-19","1","0","0"
"8","2020-04-28","0","1","1"
"9","2020-05-02","2","0","0"
"10","2020-05-04","0","3","0"
"11","2020-05-06","0","0","2"
"12","2020-05-07","3","2","0"
"13","2020-05-08","1","0","0"
"14","2020-05-09","1","2","1"
"15","2020-05-10","5","3","0"
"16","2020-05-11","0","0","2"
"17","2020-05-12","1","1","1"
"18","2020-05-13","0","5","1"
"19","2020-05-14","1","1","5"
"20","2020-05-15","1","3","0"
"21","2020-05-16","0","2","1"
"22","2020-05-17","3","6","5"
"23","2020-05-18","2","2","1"
"24","2020-05-19","1","2","4"
"25","2020-05-20","4","5","3"
"26","2020-05-21","7","3","1"
"27","2020-05-22","0","0","1"
"28","2020-05-23","1","1","2"
"29","2020-05-24","1","2","2"
"30","2020-05-25","0","4","2"
"31","2020-05-26","4","5","2"
"32","2020-05-27","6","7","2"
"33","2020-05-28","2","4","2"
"34","2020-05-29","11","10","0"
"35","2020-05-30","1","1","1"
"36","2020-05-31","2","1","1"
"37","2020-06-01","1","3","1"
"38","2020-06-02","3","2","2"
"39","2020-06-03","1","0","0"
"40","2020-06-04","4","2","2"
"41","2020-06-05","1","3","5"
"42","2020-06-06","2","1","3"
"43","2020-06-07","0","1","7"
"44","2020-06-08","5","3","4"
"45","2020-06-09","2","1","1"
"46","2020-06-10","2","3","7"
"47","2020-06-11","3","4","2"
"48","2020-06-12","1","1","0"
"49","2020-06-13","2","1","1"
"50","2020-06-14","1","1","1"
"51","2020-06-15","5","3","0"
"52","2020-06-16","1","5","4"
"53","2020-06-17","3","1","4"
"54","2020-06-18","2","4","1"
"55","2020-06-19","3","3","0"
"56","2020-06-20","4","3","2"
"57","2020-06-21","9","1","2"
"58","2020-06-22","4","4","3"
"59","2020-06-23","3","3","2"
"60","2020-06-24","3","7","1"
"61","2020-06-25","4","12","0"
"62","2020-06-26","3","5","3"
"63","2020-06-27","3","2","1"
"64","2020-06-28","1","1","15"
"65","2020-06-29","3","1","1"
"66","2020-06-30","7","7","3"
"67","2020-07-01","9","13","3"
"68","2020-07-02","8","5","9"
"69","2020-07-03","11","12","4"
"70","2020-07-04","8","3","1"
"71","2020-07-05","18","11","1"
"72","2020-07-06","19","11","3"
"73","2020-07-07","23","15","3"
"74","2020-07-08","18","19","8"
"75","2020-07-09","16","14","12"
"76","2020-07-10","20","16","3"
"77","2020-07-11","16","26","13"
"78","2020-07-12","12","12","8"
"79","2020-07-13","14","23","11"
"80","2020-07-14","22","27","42"
"81","2020-07-15","19","23","1"
"82","2020-07-16","17","25","38"
"83","2020-07-17","16","18","28"
"84","2020-07-18","16","9","1"
"85","2020-07-19","9","4","13"
"86","2020-07-20","18","18","4"
"87","2020-07-21","16","21","19"
"88","2020-07-22","30","19","2"
"89","2020-07-23","14","25","23"
"90","2020-07-24","17","13","18"
"91","2020-07-25","10","12","1"
"92","2020-07-26","20","10","16"
"93","2020-07-27","16","33","10"
"94","2020-07-28","27","35","19"
"95","2020-07-29","24","19","16"
"96","2020-07-30","27","26","16"
"97","2020-07-31","18","24","13"
"98","2020-08-01","23","11","1"
"99","2020-08-02","10","10","1"
"100","2020-08-03","27","38","4"
"101","2020-08-04","10","10","19"
"102","2020-08-05","12","25","22"
"103","2020-08-06","11","15","4"
"104","2020-08-07","20","30","18"
"105","2020-08-08","13","26","2"
"106","2020-08-09","15","11","35"
"107","2020-08-10","11","28","2"
"108","2020-08-11","19","27","10"
"109","2020-08-12","11","3","12"
"110","2020-08-13","10","14","15"
"111","2020-08-14","15","14","19"
"112","2020-08-15","10","16","5"
"113","2020-08-16","13","21","6"
"114","2020-08-17","7","14","6"
"115","2020-08-18","1","13","11"
"116","2020-08-19","13","12","26"
"117","2020-08-20","4","11","8"
"118","2020-08-21","11","11","9"
"119","2020-08-22","7","3","4"
"120","2020-08-23","9","7","22"
"121","2020-08-24","12","9","28"
"122","2020-08-25","9","19","7"
"123","2020-08-26","8","11","21"
"124","2020-08-27","6","10","25"
"125","2020-08-28","4","9","7"
"126","2020-08-29","4","4","4"
"127","2020-08-30","1","4","1"
"128","2020-08-31","10","8","4"
"129","2020-09-01","9","12","6"
"130","2020-09-02","3","7","9"
"131","2020-09-03","2","4","12"
"132","2020-09-04","4","4","3"
"133","2020-09-05","5","0","0"
"134","2020-09-06","8","1","0"
"135","2020-09-07","10","12","8"
"136","2020-09-08","5","5","5"
"137","2020-09-09","3","11","4"
"138","2020-09-10","6","18","4"
"139","2020-09-11","10","11","5"
"140","2020-09-12","6","2","1"
"141","2020-09-13","7","3","6"
"142","2020-09-14","13","10","3"
"143","2020-09-15","5","4","9"
"144","2020-09-16","4","7","2"
"145","2020-09-17","11","13","12"
"146","2020-09-18","13","19","34"
"147","2020-09-19","9","4","9"
"148","2020-09-20","10","8","3"
"149","2020-09-21","10","17","10"
"150","2020-09-22","9","14","6"
"151","2020-09-23","11","19","10"
"152","2020-09-24","6","9","33"
"153","2020-09-25","10","19","16"
"154","2020-09-26","5","6","6"
"155","2020-09-27","10","7","3"
"156","2020-09-28","7","14","21"
"157","2020-09-29","10","8","12"
"158","2020-09-30","7","15","8"
"159","2020-10-01","5","10","3"
"160","2020-10-02","5","8","6"
"161","2020-10-03","4","2","5"
"162","2020-10-04","1","2","3"
"163","2020-10-05","6","10","14"
"164","2020-10-06","9","10","6"
"165","2020-10-07","7","7","6"
"166","2020-10-08","3","6","2"
"167","2020-10-09","8","10","8"
"168","2020-10-10","9","5","4"
"169","2020-10-11","2","1","2"
"170","2020-10-12","6","6","4"
"171","2020-10-13","6","7","15"
"172","2020-10-14","7","7","10"
"173","2020-10-15","3","13","21"
"174","2020-10-16","4","12","27"
"175","2020-10-17","4","3","2"
"176","2020-10-18","0","2","1"
"177","2020-10-19","5","9","11"
"178","2020-10-20","4","4","2"
"179","2020-10-21","2","2","9"
"180","2020-10-22","3","5","4"
"181","2020-10-23","12","9","8"
"182","2020-10-24","1","3","2"
"183","2020-10-25","2","2","5"
"184","2020-10-26","3","9","7"
"185","2020-10-27","5","5","4"
"186","2020-10-28","3","5","2"
"187","2020-10-29","5","13","7"
"188","2020-10-30","2","8","9"
"189","2020-10-31","1","1","3"
"190","2020-11-01","2","0","0"
"191","2020-11-02","2","5","4"
"192","2020-11-03","2","6","9"
"193","2020-11-04","2","3","7"
"194","2020-11-05","1","11","10"
"195","2020-11-06","1","4","4"
"196","2020-11-07","6","3","2"
"197","2020-11-08","6","0","0"
"198","2020-11-09","3","6","12"
"199","2020-11-10","5","4","6"
"200","2020-11-11","1","7","9"
"201","2020-11-12","5","11","7"
"202","2020-11-13","7","4","16"
"203","2020-11-14","4","0","0"
"204","2020-11-15","6","0","0"
"205","2020-11-16","2","6","5"
"206","2020-11-17","2","5","5"
"207","2020-11-18","0","5","4"
"208","2020-11-19","1","4","4"
