"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"1","2020-02-28","1","0","0"
"2","2020-03-27","1","0","0"
"3","2020-03-29","1","0","0"
"4","2020-03-30","0","1","1"
"5","2020-04-06","1","2","0"
"6","2020-04-07","1","0","2"
"7","2020-04-08","2","2","2"
"8","2020-04-09","1","1","0"
"9","2020-04-10","2","2","1"
"10","2020-04-11","0","0","2"
"11","2020-04-13","1","1","1"
"12","2020-04-14","10","10","0"
"13","2020-04-15","0","0","10"
"14","2020-04-16","2","0","1"
"15","2020-04-20","0","1","0"
"16","2020-04-21","3","3","4"
"17","2020-04-22","1","1","1"
"18","2020-04-25","0","2","2"
"19","2020-04-27","1","1","1"
"20","2020-04-30","1","1","1"
"21","2020-05-03","0","1","0"
"22","2020-05-04","1","1","0"
"23","2020-05-05","2","0","1"
"24","2020-05-08","0","1","0"
"25","2020-05-09","0","1","1"
"26","2020-05-11","5","5","1"
"27","2020-05-12","0","0","4"
"28","2020-05-13","1","1","0"
"29","2020-05-14","0","2","3"
"30","2020-05-15","2","3","2"
"31","2020-05-16","0","6","3"
"32","2020-05-17","6","7","8"
"33","2020-05-18","2","4","4"
"34","2020-05-19","1","1","5"
"35","2020-05-20","3","7","6"
"36","2020-05-21","1","5","3"
"37","2020-05-22","1","6","1"
"38","2020-05-23","5","7","2"
"39","2020-05-24","2","0","0"
"40","2020-05-25","4","8","5"
"41","2020-05-26","5","11","11"
"42","2020-05-27","9","16","13"
"43","2020-05-28","0","10","6"
"44","2020-05-29","5","31","8"
"45","2020-05-30","0","3","2"
"46","2020-05-31","0","1","1"
"47","2020-06-01","2","18","2"
"48","2020-06-02","1","5","2"
"49","2020-06-03","1","32","36"
"50","2020-06-04","1","17","18"
"51","2020-06-05","1","23","16"
"52","2020-06-06","8","23","4"
"53","2020-06-07","5","12","8"
"54","2020-06-08","8","17","9"
"55","2020-06-09","5","22","11"
"56","2020-06-10","3","19","24"
"57","2020-06-11","6","47","8"
"58","2020-06-12","5","37","15"
"59","2020-06-13","4","28","1"
"60","2020-06-14","1","10","5"
"61","2020-06-15","9","37","11"
"62","2020-06-16","4","16","45"
"63","2020-06-17","7","31","24"
"64","2020-06-18","9","19","32"
"65","2020-06-19","10","31","32"
"66","2020-06-20","9","13","2"
"67","2020-06-21","8","28","6"
"68","2020-06-22","20","50","37"
"69","2020-06-23","14","27","51"
"70","2020-06-24","9","59","7"
"71","2020-06-25","16","68","27"
"72","2020-06-26","24","57","47"
"73","2020-06-27","16","25","12"
"74","2020-06-28","18","17","13"
"75","2020-06-29","26","42","29"
"76","2020-06-30","25","69","28"
"77","2020-07-01","20","74","25"
"78","2020-07-02","22","65","57"
"79","2020-07-03","20","43","60"
"80","2020-07-04","28","50","8"
"81","2020-07-05","22","32","26"
"82","2020-07-06","37","104","40"
"83","2020-07-07","32","61","33"
"84","2020-07-08","44","58","72"
"85","2020-07-09","31","79","41"
"86","2020-07-10","29","72","52"
"87","2020-07-11","30","35","25"
"88","2020-07-12","29","34","24"
"89","2020-07-13","32","77","61"
"90","2020-07-14","33","65","67"
"91","2020-07-15","32","75","66"
"92","2020-07-16","36","71","115"
"93","2020-07-17","40","51","64"
"94","2020-07-18","39","51","26"
"95","2020-07-19","30","34","19"
"96","2020-07-20","51","90","132"
"97","2020-07-21","30","68","73"
"98","2020-07-22","22","53","77"
"99","2020-07-23","36","45","58"
"100","2020-07-24","46","66","65"
"101","2020-07-25","40","46","22"
"102","2020-07-26","34","34","23"
"103","2020-07-27","44","82","68"
"104","2020-07-28","38","84","110"
"105","2020-07-29","29","44","125"
"106","2020-07-30","34","71","45"
"107","2020-07-31","36","51","65"
"108","2020-08-01","52","59","41"
"109","2020-08-02","24","36","1"
"110","2020-08-03","43","88","98"
"111","2020-08-04","25","61","76"
"112","2020-08-05","31","65","65"
"113","2020-08-06","40","78","97"
"114","2020-08-07","34","68","86"
"115","2020-08-08","37","36","27"
"116","2020-08-09","27","30","31"
"117","2020-08-10","35","77","87"
"118","2020-08-11","33","77","119"
"119","2020-08-12","26","59","63"
"120","2020-08-13","33","63","104"
"121","2020-08-14","34","75","78"
"122","2020-08-15","35","55","33"
"123","2020-08-16","20","36","24"
"124","2020-08-17","51","68","65"
"125","2020-08-18","37","70","129"
"126","2020-08-19","22","70","102"
"127","2020-08-20","32","76","105"
"128","2020-08-21","29","58","101"
"129","2020-08-22","27","19","24"
"130","2020-08-23","29","26","19"
"131","2020-08-24","21","74","106"
"132","2020-08-25","36","64","104"
"133","2020-08-26","27","76","61"
"134","2020-08-27","22","61","80"
"135","2020-08-28","28","80","67"
"136","2020-08-29","23","41","32"
"137","2020-08-30","21","35","20"
"138","2020-08-31","24","86","113"
"139","2020-09-01","26","53","67"
"140","2020-09-02","32","60","55"
"141","2020-09-03","31","67","73"
"142","2020-09-04","20","40","38"
"143","2020-09-05","15","41","21"
"144","2020-09-06","15","17","14"
"145","2020-09-07","19","50","71"
"146","2020-09-08","17","48","66"
"147","2020-09-09","13","45","48"
"148","2020-09-10","19","45","47"
"149","2020-09-11","14","37","42"
"150","2020-09-12","15","25","10"
"151","2020-09-13","15","18","18"
"152","2020-09-14","13","51","24"
"153","2020-09-15","16","23","3"
"154","2020-09-16","8","61","58"
"155","2020-09-17","17","37","69"
"156","2020-09-18","21","34","46"
"157","2020-09-19","16","17","13"
"158","2020-09-20","12","25","24"
"159","2020-09-21","9","55","44"
"160","2020-09-22","12","50","56"
"161","2020-09-23","6","74","28"
"162","2020-09-24","4","51","59"
"163","2020-09-25","7","31","30"
"164","2020-09-26","12","37","22"
"165","2020-09-27","10","20","17"
"166","2020-09-28","16","44","77"
