Date,Hovedstaden,Sjælland,Syddanmark,Midtjylland,Nordjylland
2020-05-20,319,114,31,69,21
2020-05-22,322,116,32,69,22
2020-05-25,324,116,32,69,22
2020-05-26,324,116,32,69,22
2020-05-27,325,116,33,69,22
2020-05-28,326,117,34,69,22
2020-05-29,326,117,34,69,22
2020-06-02,337,118,34,69,22
2020-06-03,337,118,34,69,22
2020-06-04,338,119,34,69,22
2020-06-08,347,120,35,69,22
2020-06-10,347,120,35,69,22
2020-06-11,347,120,35,69,22
2020-06-12,347,121,35,69,22
2020-06-15,349,123,35,69,22
2020-06-16,349,123,35,69,22
2020-06-17,349,123,35,69,22
2020-06-18,351,123,35,69,22
2020-06-19,351,123,35,69,22
2020-06-22,353,123,35,69,22
2020-06-23,353,123,35,69,23
2020-06-24,353,123,35,69,23
2020-06-25,353,123,35,69,23
2020-06-26,353,123,35,69,24
2020-06-29,353,123,35,69,25
2020-06-30,353,123,35,69,25
2020-07-01,353,124,35,69,25
2020-07-02,353,,35,69,25
2020-07-03,353,124,35,69,25
2020-07-06,354,124,35,69,25
2020-07-07,356,124,35,69,25
2020-07-08,356,124,35,69,25
2020-07-09,356,124,35,69,25
2020-07-10,356,124,35,69,25
2020-07-13,357,124,35,69,25
2020-07-14,357,124,35,69,25
2020-07-15,357,124,35,69,25
2020-07-16,357,124,35,69,25
2020-07-17,358,124,35,69,25
2020-07-20,358,124,35,69,25
2020-07-21,358,124,35,69,25
2020-07-22,358,124,35,69,25
2020-07-23,359,124,35,69,25
2020-07-24,360,124,35,69,25
2020-07-27,360,124,35,69,25
2020-07-28,360,124,35,69,25
2020-07-29,360,125,35,69,25
2020-07-30,360,125,35,69,26
2020-07-31,360,125,35,69,26
2020-08-03,360,126,35,69,26
2020-08-04,360,126,35,69,26
2020-08-05,360,126,35,69,26
2020-08-06,361,126,35,69,26
2020-08-07,361,126,35,69,26
2020-08-10,363,127,35,69,26
2020-08-11,363,127,35,70,26
