Date,Hovedstaden,Sjælland,Syddanmark,Midtjylland,Nordjylland
2020-05-20,6288,1782,979,1576,427
2020-05-22,6360,1803,984,1585,430
2020-05-25,6477,1826,991,1590,434
2020-05-26,6511,1831,992,1590,434
2020-05-27,6549,1834,998,1591,438
2020-05-28,6573,1840,998,1593,438
2020-05-29,6639,1851,1000,1596,437
2020-06-02,6737,1887,1005,1596,437
2020-06-03,6760,1892,1010,1599,436
2020-06-04,6783,1906,1011,1601,436
2020-06-08,6887,1939,1019,1607,436
2020-06-10,6925,1940,1028,1610,437
2020-06-11,6939,1943,1028,1611,438
2020-06-12,6982,1951,1030,1612,447
2020-06-15,7047,1967,1031,1621,473
2020-06-16,7073,1971,1032,1618,478
2020-06-17,7095,1978,1032,1621,489
2020-06-18,7123,1984,1033,1628,496
2020-06-19,7152,1993,1035,1627,504
