"","fecha","Fallecidos por fecha"
"1","2020-05-06","1"
"2","2020-05-30","1"
"3","2020-06-02","1"
"4","2020-06-06","1"
"5","2020-06-16","1"
"6","2020-07-01","1"
"7","2020-07-05","1"
"8","2020-07-06","1"
"9","2020-07-08","1"
"10","2020-07-09","1"
"11","2020-07-11","2"
"12","2020-07-13","2"
"13","2020-07-19","1"
"14","2020-07-20","1"
"15","2020-07-22","2"
"16","2020-07-24","3"
"17","2020-07-30","2"
"18","2020-08-02","3"
"19","2020-08-04","1"
"20","2020-08-07","1"
"21","2020-08-11","2"
"22","2020-08-12","1"
"23","2020-08-14","2"
"24","2020-08-15","1"
"25","2020-08-16","2"
"26","2020-08-17","1"
"27","2020-08-18","2"
"28","2020-08-19","3"
"29","2020-08-20","2"
"30","2020-08-21","1"
"31","2020-08-22","2"
"32","2020-08-23","2"
"33","2020-08-24","3"
"34","2020-08-26","2"
"35","2020-08-28","2"
"36","2020-08-29","2"
"37","2020-08-30","1"
"38","2020-09-01","2"
"39","2020-09-02","3"
"40","2020-09-03","1"
"41","2020-09-04","1"
"42","2020-09-05","2"
"43","2020-09-07","1"
"44","2020-09-08","1"
"45","2020-09-09","1"
"46","2020-09-10","1"
"47","2020-09-13","1"
"48","2020-09-14","1"
"49","2020-09-15","1"
"50","2020-09-18","1"
"51","2020-09-20","1"
"52","2020-09-24","1"
"53","2020-09-25","1"
"54","2020-09-26","1"
"55","2020-09-29","2"
"56","2020-10-01","2"
"57","2020-10-04","1"
"58","2020-10-05","3"
"59","2020-10-06","2"
"60","2020-10-07","2"
"61","2020-10-09","2"
"62","2020-10-10","2"
"63","2020-10-11","1"
"64","2020-10-13","2"
"65","2020-10-14","1"
"66","2020-10-15","2"
"67","2020-10-21","2"
"68","2020-10-23","2"
"69","2020-10-24","1"
"70","2020-10-25","2"
"71","2020-10-27","1"
"72","2020-10-30","1"
"73","2020-11-02","1"
"74","2020-11-03","1"
"75","2020-11-08","1"
"76","2020-11-11","1"
"77","2020-11-12","2"
"78","2020-11-16","2"
"79","2020-11-18","1"
"80","2020-11-20","1"
"81","2020-11-22","1"
"82","2020-11-23","1"
"83","2020-11-24","1"
"84","2020-11-27","1"
"85","2020-12-04","1"
"86","2020-12-05","1"
"87","2020-12-06","2"
"88","2020-12-09","1"
"89","2020-12-11","1"
"90","2020-12-12","1"
"91","2020-12-14","1"
"92","2020-12-15","1"
"93","2020-12-17","1"
"94","2020-12-21","1"
"95","2020-12-26","2"
"96","2020-12-27","1"
"97","2020-12-28","1"
"98","2020-12-29","3"
"99","2021-01-01","1"
"100","2021-01-03","1"
"101","2021-01-04","1"
"102","2021-01-05","1"
"103","2021-01-09","1"
"104","2021-01-11","2"
"105","2021-01-13","1"
"106","2021-01-15","1"
"107","2021-01-16","2"
"108","2021-01-19","3"
"109","2021-01-20","1"
"110","2021-01-21","1"
"111","2021-01-22","1"
"112","2021-01-24","1"
"113","2021-01-30","1"
"114","2021-02-01","1"
"115","2021-02-04","1"
"116","2021-02-10","1"
"117","2021-02-13","1"
"118","2021-02-19","1"
"119","2021-02-27","2"
"120","2021-02-28","1"
"121","2021-03-01","1"
"122","2021-03-09","1"
"123","2021-03-11","1"
"124","2021-03-12","2"
"125","2021-03-19","1"
"126","2021-03-20","2"
"127","2021-03-23","3"
"128","2021-03-26","1"
"129","2021-03-27","3"
"130","2021-03-28","1"
"131","2021-03-29","1"
"132","2021-03-30","1"
"133","2021-03-31","1"
"134","2021-04-01","1"
"135","2021-04-02","1"
"136","2021-04-04","2"
"137","2021-04-05","3"
"138","2021-04-06","2"
"139","2021-04-07","1"
"140","2021-04-09","2"
"141","2021-04-12","3"
"142","2021-04-13","3"
"143","2021-04-14","2"
"144","2021-04-15","1"
"145","2021-04-16","2"
"146","2021-04-17","1"
"147","2021-04-18","2"
"148","2021-04-19","3"
"149","2021-04-20","2"
"150","2021-04-21","2"
"151","2021-04-22","2"
"152","2021-04-23","3"
"153","2021-04-25","1"
"154","2021-04-28","1"
"155","2021-04-29","3"
"156","2021-04-30","3"
"157","2021-05-01","2"
"158","2021-05-02","4"
"159","2021-05-03","2"
"160","2021-05-04","1"
"161","2021-05-05","1"
"162","2021-05-06","3"
"163","2021-05-07","2"
"164","2021-05-09","1"
"165","2021-05-10","1"
"166","2021-05-11","1"
"167","2021-05-12","3"
"168","2021-05-13","2"
"169","2021-05-14","2"
"170","2021-05-15","3"
"171","2021-05-16","3"
"172","2021-05-17","1"
"173","2021-05-18","1"
"174","2021-05-19","1"
"175","2021-05-21","1"
"176","2021-05-22","1"
"177","2021-05-23","3"
"178","2021-05-25","4"
"179","2021-05-27","1"
"180","2021-05-29","2"
"181","2021-05-31","4"
"182","2021-06-01","2"
"183","2021-06-02","2"
"184","2021-06-03","1"
"185","2021-06-08","4"
"186","2021-06-09","1"
"187","2021-06-10","2"
"188","2021-06-11","2"
"189","2021-06-13","2"
"190","2021-06-15","3"
"191","2021-06-16","1"
"192","2021-06-17","1"
"193","2021-06-19","2"
"194","2021-06-20","1"
"195","2021-06-21","1"
"196","2021-06-22","3"
"197","2021-06-23","2"
"198","2021-06-24","1"
"199","2021-06-25","3"
"200","2021-06-26","2"
"201","2021-06-29","2"
"202","2021-06-30","2"
"203","2021-07-02","1"
"204","2021-07-04","1"
"205","2021-07-08","1"
"206","2021-07-09","2"
"207","2021-07-10","1"
"208","2021-07-11","1"
"209","2021-07-14","3"
"210","2021-07-17","5"
"211","2021-07-18","2"
"212","2021-07-19","3"
"213","2021-07-22","1"
"214","2021-07-24","4"
"215","2021-07-25","3"
"216","2021-07-26","2"
"217","2021-07-27","1"
"218","2021-07-29","3"
"219","2021-07-30","2"
"220","2021-08-01","1"
"221","2021-08-02","2"
"222","2021-08-03","2"
"223","2021-08-04","2"
"224","2021-08-05","1"
"225","2021-08-06","4"
"226","2021-08-07","1"
"227","2021-08-08","2"
"228","2021-08-09","2"
"229","2021-08-10","3"
"230","2021-08-11","4"
"231","2021-08-12","5"
"232","2021-08-13","4"
"233","2021-08-14","4"
"234","2021-08-15","2"
"235","2021-08-16","3"
"236","2021-08-17","2"
"237","2021-08-18","4"
"238","2021-08-19","4"
"239","2021-08-20","5"
"240","2021-08-21","2"
"241","2021-08-22","2"
"242","2021-08-23","1"
"243","2021-08-24","3"
"244","2021-08-25","5"
"245","2021-08-28","2"
"246","2021-08-29","4"
"247","2021-08-30","5"
"248","2021-08-31","5"
"249","2021-09-01","3"
"250","2021-09-02","2"
"251","2021-09-03","2"
"252","2021-09-05","5"
"253","2021-09-06","3"
"254","2021-09-07","2"
"255","2021-09-08","1"
"256","2021-09-09","1"
"257","2021-09-10","3"
"258","2021-09-12","3"
"259","2021-09-13","3"
"260","2021-09-14","2"
"261","2021-09-15","3"
"262","2021-09-19","1"
"263","2021-09-22","1"
"264","2021-09-25","1"
"265","2021-09-26","4"
"266","2021-09-27","1"
"267","2021-09-28","2"
"268","2021-09-29","2"
"269","2021-09-30","1"
"270","2021-10-01","1"
"271","2021-10-06","2"
"272","2021-10-07","1"
"273","2021-10-08","1"
"274","2021-10-10","2"
"275","2021-10-12","1"
"276","2021-10-13","1"
"277","2021-10-16","1"
"278","2021-10-18","1"
"279","2021-10-19","1"
"280","2021-10-22","2"
"281","2021-10-28","1"
"282","2021-11-14","1"
"283","2021-11-29","1"
"284","Total","510"
