"","fecha","Fallecidos por fecha"
"1","2020-04-25","1"
"2","2020-05-16","1"
"3","2020-05-23","2"
"4","2020-05-26","1"
"5","2020-06-03","1"
"6","2020-06-08","1"
"7","2020-06-25","1"
"8","2020-06-26","1"
"9","2020-06-27","1"
"10","2020-06-28","3"
"11","2020-06-30","1"
"12","2020-07-03","1"
"13","2020-07-05","4"
"14","2020-07-06","2"
"15","2020-07-08","2"
"16","2020-07-09","2"
"17","2020-07-10","3"
"18","2020-07-11","2"
"19","2020-07-12","1"
"20","2020-07-13","1"
"21","2020-07-15","1"
"22","2020-07-16","3"
"23","2020-07-17","1"
"24","2020-07-19","1"
"25","2020-07-20","2"
"26","2020-07-21","1"
"27","2020-07-22","1"
"28","2020-07-25","1"
"29","2020-07-27","1"
"30","2020-07-28","3"
"31","2020-07-29","2"
"32","2020-07-30","1"
"33","2020-07-31","1"
"34","2020-08-01","1"
"35","2020-08-02","5"
"36","2020-08-03","2"
"37","2020-08-04","1"
"38","2020-08-05","1"
"39","2020-08-07","3"
"40","2020-08-09","1"
"41","2020-08-10","1"
"42","2020-08-11","4"
"43","2020-08-13","2"
"44","2020-08-14","1"
"45","2020-08-18","3"
"46","2020-08-19","2"
"47","2020-08-21","1"
"48","2020-08-24","2"
"49","2020-08-26","3"
"50","2020-08-28","1"
"51","2020-08-29","1"
"52","2020-09-01","1"
"53","2020-09-02","1"
"54","2020-09-05","1"
"55","2020-09-09","1"
"56","2020-09-13","1"
"57","Total","91"
