"","fecha","Fallecidos por fecha"
"1","2020-04-25","1"
"2","2020-06-01","1"
"3","2020-06-11","1"
"4","2020-06-14","1"
"5","2020-06-19","2"
"6","2020-06-21","1"
"7","2020-06-28","2"
"8","2020-07-03","1"
"9","2020-07-04","1"
"10","2020-07-06","4"
"11","2020-07-08","2"
"12","2020-07-11","1"
"13","2020-07-12","1"
"14","2020-07-13","2"
"15","2020-07-16","2"
"16","2020-07-17","2"
"17","2020-07-18","4"
"18","2020-07-19","1"
"19","2020-07-21","1"
"20","2020-07-22","2"
"21","2020-07-23","2"
"22","2020-07-25","1"
"23","2020-07-27","1"
"24","2020-07-28","3"
"25","2020-07-29","2"
"26","2020-07-30","1"
"27","2020-08-02","5"
"28","2020-08-05","1"
"29","2020-08-07","1"
"30","2020-08-10","1"
"31","2020-08-14","1"
"32","2020-08-17","1"
"33","2020-08-19","2"
"34","2020-08-22","1"
"35","2020-08-25","3"
"36","2020-08-27","1"
"37","2020-08-30","1"
"38","2020-09-06","3"
"39","2020-09-07","1"
"40","2020-09-09","1"
"41","2020-09-14","1"
"42","2020-09-15","2"
"43","2020-09-16","2"
"44","2020-09-18","1"
"45","2020-09-20","1"
"46","2020-09-21","1"
"47","2020-09-23","1"
"48","2020-09-25","1"
"49","2020-09-28","1"
"50","2020-10-02","1"
"51","2020-10-05","1"
"52","2020-10-06","1"
"53","2020-10-09","1"
"54","2020-10-13","1"
"55","2020-10-18","1"
"56","2020-10-19","1"
"57","2020-10-21","2"
"58","2020-10-23","1"
"59","2020-10-25","2"
"60","2020-10-27","2"
"61","2020-11-03","1"
"62","2020-11-06","1"
"63","2020-11-14","1"
"64","2020-11-22","1"
"65","2020-11-25","1"
"66","2020-12-01","1"
"67","2020-12-06","1"
"68","2020-12-12","1"
"69","2020-12-17","1"
"70","2020-12-26","1"
"71","2020-12-27","1"
"72","2020-12-29","1"
"73","2021-01-08","1"
"74","2021-01-11","1"
"75","2021-01-17","2"
"76","2021-01-18","1"
"77","2021-01-19","1"
"78","2021-01-25","1"
"79","2021-01-26","1"
"80","2021-02-05","1"
"81","2021-02-11","1"
"82","2021-02-14","1"
"83","2021-02-16","1"
"84","2021-02-23","1"
"85","2021-02-28","1"
"86","2021-03-02","1"
"87","2021-03-04","1"
"88","2021-03-11","1"
"89","2021-03-16","2"
"90","2021-03-19","1"
"91","2021-03-20","1"
"92","2021-03-22","1"
"93","2021-03-23","1"
"94","2021-03-25","1"
"95","2021-03-26","1"
"96","2021-03-27","3"
"97","2021-04-01","2"
"98","2021-04-03","1"
"99","2021-04-05","2"
"100","2021-04-11","1"
"101","2021-04-15","1"
"102","2021-04-20","1"
"103","2021-04-22","1"
"104","2021-04-24","2"
"105","2021-04-26","1"
"106","2021-04-29","1"
"107","2021-04-30","1"
"108","2021-05-01","1"
"109","2021-05-02","1"
"110","2021-05-05","1"
"111","2021-05-06","1"
"112","2021-05-08","2"
"113","2021-05-10","2"
"114","2021-05-13","2"
"115","Total","155"
