"","fecha","Fallecidos por fecha"
"1","2020-05-11","1"
"2","2020-05-14","1"
"3","2020-07-03","1"
"4","2020-07-05","1"
"5","2020-07-06","1"
"6","2020-07-10","1"
"7","2020-07-11","1"
"8","2020-07-16","1"
"9","2020-07-18","1"
"10","2020-07-23","2"
"11","2020-07-24","1"
"12","2020-07-25","1"
"13","2020-07-30","1"
"14","2020-07-31","1"
"15","2020-08-01","1"
"16","2020-08-02","1"
"17","2020-08-03","1"
"18","2020-08-04","1"
"19","2020-08-05","2"
"20","2020-08-06","1"
"21","2020-08-07","3"
"22","2020-08-08","1"
"23","2020-08-10","1"
"24","2020-08-11","1"
"25","2020-08-14","2"
"26","2020-08-15","2"
"27","2020-08-18","1"
"28","2020-08-19","2"
"29","2020-08-25","1"
"30","2020-08-30","1"
"31","2020-08-31","1"
"32","2020-09-09","1"
"33","2020-09-15","1"
"34","2020-09-16","1"
"35","2020-09-30","1"
"36","2020-10-04","1"
"37","2020-10-07","1"
"38","2020-10-10","1"
"39","2020-10-16","1"
"40","2020-10-19","1"
"41","2020-10-21","1"
"42","2020-10-22","1"
"43","2020-10-24","1"
"44","2020-10-27","2"
"45","2020-10-28","1"
"46","2020-11-03","1"
"47","2020-11-08","1"
"48","2020-11-11","2"
"49","2020-11-12","1"
"50","2020-11-16","1"
"51","2020-11-23","2"
"52","2020-11-27","1"
"53","2020-12-03","1"
"54","2020-12-05","1"
"55","2020-12-11","1"
"56","2020-12-13","1"
"57","2020-12-17","1"
"58","2021-01-01","1"
"59","2021-01-12","1"
"60","2021-01-13","1"
"61","2021-01-20","1"
"62","2021-01-22","1"
"63","2021-01-24","1"
"64","2021-02-11","1"
"65","2021-02-14","1"
"66","2021-02-26","1"
"67","2021-03-01","3"
"68","2021-03-02","1"
"69","2021-03-03","1"
"70","2021-03-04","2"
"71","2021-03-06","1"
"72","2021-03-10","2"
"73","2021-03-14","2"
"74","2021-03-15","2"
"75","2021-03-17","1"
"76","2021-03-20","3"
"77","2021-03-21","3"
"78","2021-03-22","3"
"79","2021-03-23","3"
"80","2021-03-24","1"
"81","2021-03-25","7"
"82","2021-03-26","2"
"83","2021-03-27","3"
"84","2021-03-28","2"
"85","2021-03-30","3"
"86","2021-03-31","1"
"87","2021-04-01","1"
"88","2021-04-03","5"
"89","2021-04-04","3"
"90","2021-04-05","1"
"91","2021-04-06","1"
"92","2021-04-08","3"
"93","2021-04-12","3"
"94","2021-04-13","1"
"95","2021-04-15","3"
"96","2021-04-18","1"
"97","2021-04-19","2"
"98","2021-04-20","3"
"99","2021-04-21","1"
"100","2021-04-25","2"
"101","2021-04-28","1"
"102","2021-04-29","1"
"103","2021-05-02","1"
"104","2021-05-03","1"
"105","2021-05-04","1"
"106","2021-05-06","1"
"107","2021-05-11","2"
"108","2021-05-12","1"
"109","2021-05-14","2"
"110","2021-05-15","1"
"111","2021-05-16","1"
"112","2021-05-17","3"
"113","2021-05-18","1"
"114","2021-05-19","1"
"115","2021-05-21","1"
"116","2021-05-27","1"
"117","2021-05-29","1"
"118","2021-05-31","1"
"119","2021-06-03","1"
"120","2021-06-07","3"
"121","2021-06-10","1"
"122","2021-06-12","1"
"123","2021-06-13","1"
"124","2021-06-14","1"
"125","2021-06-15","1"
"126","2021-06-22","1"
"127","2021-06-23","1"
"128","2021-06-25","1"
"129","2021-06-27","1"
"130","2021-07-01","1"
"131","2021-07-06","1"
"132","2021-07-09","1"
"133","2021-07-12","1"
"134","2021-07-16","1"
"135","2021-07-17","1"
"136","2021-07-20","1"
"137","2021-07-25","1"
"138","2021-07-26","1"
"139","2021-08-06","1"
"140","2021-08-07","2"
"141","2021-08-08","1"
"142","2021-08-10","1"
"143","2021-08-12","1"
"144","2021-08-13","1"
"145","2021-08-14","1"
"146","2021-08-16","1"
"147","2021-08-18","1"
"148","2021-08-19","1"
"149","2021-08-23","1"
"150","2021-08-25","2"
"151","2021-08-26","1"
"152","2021-08-27","1"
"153","2021-08-28","1"
"154","2021-08-29","1"
"155","2021-08-31","1"
"156","2021-09-01","1"
"157","2021-09-05","2"
"158","2021-09-08","2"
"159","2021-09-09","1"
"160","Total","221"
