"","fecha","Fallecidos por fecha"
"1","2020-05-11","1"
"2","2020-05-14","1"
"3","2020-07-03","1"
"4","2020-07-05","1"
"5","2020-07-06","1"
"6","2020-07-10","1"
"7","2020-07-11","1"
"8","2020-07-16","1"
"9","2020-07-18","1"
"10","2020-07-23","2"
"11","2020-07-24","1"
"12","2020-07-25","1"
"13","2020-07-30","1"
"14","2020-07-31","1"
"15","2020-08-01","1"
"16","2020-08-02","1"
"17","2020-08-03","1"
"18","2020-08-04","1"
"19","2020-08-05","2"
"20","2020-08-06","1"
"21","2020-08-07","3"
"22","2020-08-08","1"
"23","2020-08-10","1"
"24","2020-08-11","1"
"25","2020-08-14","2"
"26","2020-08-15","2"
"27","2020-08-18","1"
"28","2020-08-19","2"
"29","2020-08-25","1"
"30","2020-08-30","1"
"31","2020-08-31","1"
"32","2020-09-09","1"
"33","2020-09-15","1"
"34","2020-09-16","1"
"35","2020-09-30","1"
"36","2020-10-04","1"
"37","2020-10-07","1"
"38","2020-10-10","1"
"39","2020-10-16","1"
"40","2020-10-19","1"
"41","2020-10-21","1"
"42","2020-10-22","1"
"43","2020-10-24","1"
"44","2020-10-27","2"
"45","2020-10-28","1"
"46","2020-11-03","1"
"47","2020-11-08","1"
"48","2020-11-11","2"
"49","2020-11-12","1"
"50","2020-11-16","1"
"51","2020-11-23","2"
"52","2020-11-27","1"
"53","2020-12-03","1"
"54","2020-12-05","1"
"55","2020-12-11","1"
"56","2020-12-13","1"
"57","2020-12-17","1"
"58","2021-01-01","1"
"59","2021-01-12","1"
"60","2021-01-13","1"
"61","2021-01-20","1"
"62","2021-01-22","1"
"63","2021-01-24","1"
"64","2021-02-11","1"
"65","2021-02-14","1"
"66","2021-02-26","1"
"67","2021-03-01","3"
"68","2021-03-02","1"
"69","2021-03-03","1"
"70","2021-03-04","1"
"71","2021-03-10","2"
"72","2021-03-14","1"
"73","2021-03-15","2"
"74","2021-03-17","1"
"75","2021-03-20","3"
"76","2021-03-21","2"
"77","2021-03-22","2"
"78","2021-03-23","3"
"79","2021-03-24","1"
"80","2021-03-25","7"
"81","2021-03-26","1"
"82","2021-03-27","2"
"83","2021-03-28","2"
"84","2021-03-30","3"
"85","2021-03-31","1"
"86","2021-04-01","1"
"87","2021-04-03","3"
"88","2021-04-04","3"
"89","2021-04-06","1"
"90","2021-04-08","2"
"91","2021-04-12","3"
"92","2021-04-13","1"
"93","2021-04-15","2"
"94","2021-04-18","1"
"95","2021-04-19","1"
"96","2021-04-20","3"
"97","2021-04-21","1"
"98","2021-04-25","1"
"99","2021-05-02","1"
"100","2021-05-03","1"
"101","2021-05-06","1"
"102","2021-05-11","1"
"103","2021-05-14","2"
"104","2021-05-15","1"
"105","2021-05-17","2"
"106","2021-05-18","1"
"107","2021-05-27","1"
"108","2021-05-29","1"
"109","2021-05-31","1"
"110","2021-06-03","1"
"111","Total","152"
