Date,Status,TT,AA,AF,AM,BG,DD,GA,HR,OR,SO,SN,SI,TG,Other
13-Mar-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,,0,
13-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
13-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
15-Mar-20,Confirmed,4,4,0,0,0,0,0,0,0,0,0,,0,
15-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
15-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
17-Mar-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,,0,
17-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
17-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
19-Mar-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,,0,
19-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
19-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
22-Mar-20,Confirmed,2,2,0,0,0,0,0,0,0,0,0,,0,
22-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
22-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
23-Mar-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,,0,
23-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
23-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
27-Mar-20,Confirmed,3,2,0,0,0,0,0,0,1,0,0,,0,
27-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
27-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
28-Mar-20,Confirmed,2,2,0,0,0,0,0,0,0,0,0,,0,
28-Mar-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,,0,
28-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
29-Mar-20,Confirmed,5,3,0,0,0,0,0,0,2,0,0,,0,
29-Mar-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,,0,
29-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
30-Mar-20,Confirmed,2,0,0,2,0,0,0,0,0,0,0,,0,
30-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
30-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
31-Mar-20,Confirmed,4,3,0,0,0,1,0,0,0,0,0,,0,
31-Mar-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
31-Mar-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
1-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,,0,
1-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
1-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
2-Apr-20,Confirmed,0,0,0,0,0,0,0,0,0,0,0,,0,
2-Apr-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,,0,
2-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
3-Apr-20,Confirmed,6,5,0,0,0,1,0,0,0,0,0,,0,
3-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
3-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
4-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,,0,
4-Apr-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,,0,
4-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
5-Apr-20,Confirmed,5,5,0,0,0,0,0,0,0,0,0,,0,
5-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
5-Apr-20,Deceased,2,2,0,0,0,0,0,0,0,0,0,,0,
6-Apr-20,Confirmed,1,0,0,0,0,0,0,0,1,0,0,,0,
6-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
6-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
7-Apr-20,Confirmed,8,8,0,0,0,0,0,0,0,0,0,,0,
7-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
7-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
8-Apr-20,Confirmed,3,2,0,1,0,0,0,0,0,0,0,,0,
8-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
8-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
9-Apr-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,,0,
9-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
9-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
10-Apr-20,Confirmed,9,9,0,0,0,0,0,0,0,0,0,,0,
10-Apr-20,Recovered,6,6,0,0,0,0,0,0,0,0,0,,0,
10-Apr-20,Deceased,1,0,0,0,0,0,0,0,1,0,0,,0,
11-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,,0,
11-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
11-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
12-Apr-20,Confirmed,2,2,0,0,0,0,0,0,0,0,0,,0,
12-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
12-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
13-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,,0,
13-Apr-20,Recovered,4,4,0,0,0,0,0,0,0,0,0,,0,
13-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
14-Apr-20,Confirmed,8,8,0,0,0,0,0,0,0,0,0,,0,
14-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
14-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
15-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,,0,
15-Apr-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,,0,
15-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
16-Apr-20,Confirmed,7,7,0,0,0,0,0,0,0,0,0,,0,
16-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
16-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
17-Apr-20,Confirmed,4,2,0,2,0,0,0,0,0,0,0,,0,
17-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
17-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
18-Apr-20,Confirmed,9,5,0,0,0,3,0,0,1,0,0,,0,
18-Apr-20,Recovered,1,1,0,0,0,0,0,0,0,0,0,,0,
18-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
19-Apr-20,Confirmed,3,3,0,0,0,0,0,0,0,0,0,,0,
19-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
19-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
20-Apr-20,Confirmed,6,3,0,0,0,3,0,0,0,0,0,,0,
20-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
20-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
21-Apr-20,Confirmed,3,2,0,0,0,0,0,0,1,0,0,,0,
21-Apr-20,Recovered,5,4,0,0,0,1,0,0,0,0,0,,0,
21-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
22-Apr-20,Confirmed,2,1,1,0,0,0,0,0,0,0,0,,0,
22-Apr-20,Recovered,4,4,0,0,0,0,0,0,0,0,0,,0,
22-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
23-Apr-20,Confirmed,0,0,0,0,0,0,0,0,0,0,0,,0,
23-Apr-20,Recovered,4,2,0,2,0,0,0,0,0,0,0,,0,
23-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
24-Apr-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,,0,
24-Apr-20,Recovered,4,4,0,0,0,0,0,0,0,0,0,,0,
24-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
25-Apr-20,Confirmed,5,1,0,0,0,0,0,0,4,0,0,,0,
25-Apr-20,Recovered,12,12,0,0,0,0,0,0,0,0,0,,0,
25-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
26-Apr-20,Confirmed,1,0,0,0,0,0,0,0,0,1,0,,0,
26-Apr-20,Recovered,9,8,0,1,0,0,0,0,0,0,0,,0,
26-Apr-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,,0,
27-Apr-20,Confirmed,1,1,0,0,0,0,0,0,0,0,0,,0,
27-Apr-20,Recovered,0,0,0,0,0,0,0,0,0,0,0,,0,
